datetime,symbol,open,high,low,close,volume
2024-09-15 00:00:00,CRYPTOCAP:TOTAL,2054380089360.0,2054381495492.0,2050125457376.0,2050997088081.0,117069001495.4534
2024-09-15 01:00:00,CRYPTOCAP:TOTAL,2050989095051.0,2051009280581.0,2035679393932.0,2047768243791.0,117069001495.4534
2024-09-15 02:00:00,CRYPTOCAP:TOTAL,2047770668635.0,2050886079869.0,2045861199845.0,2047855640051.0,117069001495.4534
2024-09-15 03:00:00,CRYPTOCAP:TOTAL,2047866170935.0,2055913231531.0,2046973682443.0,2054280353825.0,117069001495.4534
2024-09-15 04:00:00,CRYPTOCAP:TOTAL,2054254172138.0,2055477892390.0,2052491797968.0,2054520488531.0,117069001495.4534
2024-09-15 05:00:00,CRYPTOCAP:TOTAL,2054515423520.0,2056975381227.0,2051566154076.0,2054395738401.0,117069001495.4534
2024-09-15 06:00:00,CRYPTOCAP:TOTAL,2054387445357.0,2056102470536.0,2053398571853.0,2054525409900.0,117069001495.4534
2024-09-15 07:00:00,CRYPTOCAP:TOTAL,2054525830038.0,2058023760311.0,2053616135960.0,2055122653345.0,61002699161.23423
2024-09-15 08:00:00,CRYPTOCAP:TOTAL,2055119923921.0,2062285460163.0,2055119376824.0,2061098558577.0,61002699161.23423
2024-09-15 09:00:00,CRYPTOCAP:TOTAL,2061098969482.0,2062216793263.0,2057315363565.0,2061415925551.0,61002699161.23423
2024-09-15 10:00:00,CRYPTOCAP:TOTAL,2061411323366.0,2061449379196.0,2057528567394.0,2057769697303.0,61002699161.23423
2024-09-15 11:00:00,CRYPTOCAP:TOTAL,2057773131207.0,2059371495093.0,2054541178488.0,2055343761517.0,61002699161.23423
2024-09-15 12:00:00,CRYPTOCAP:TOTAL,2055343437571.0,2058741676298.0,2055053005550.0,2056988503484.0,61002699161.23423
2024-09-15 13:00:00,CRYPTOCAP:TOTAL,2056988361306.0,2058496844402.0,2056985714417.0,2058245184650.0,61002699161.23423
2024-09-15 14:00:00,CRYPTOCAP:TOTAL,2058244290655.0,2059696403543.0,2056850699981.0,2059196313377.0,61002699161.23423
2024-09-15 15:00:00,CRYPTOCAP:TOTAL,2059193291643.0,2059466098397.0,2053894132599.0,2054542926196.0,61002699161.23423
